,dataset_id,hyperparameter_name,hyperparameter_value,seed,error_rate,runtime
303,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,7,0.0062,4811.0
304,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,0,0.0047,2963.0
305,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,8,0.0062,3014.0
306,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,2,0.0155,3535.0
307,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,5,0.0058,3543.0
308,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,1,0.0094,4512.0
309,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,6,0.0074,5566.0
310,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,2,0.0155,3605.0
311,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,8,0.0062,2944.0
312,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,5,0.0058,3313.0
313,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,1,0.0094,4170.0
314,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,6,0.0063,5125.0
315,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,4,0.0061,3317.0
316,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,9,0.0034,3921.0
317,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,3,0.0068,2888.0
318,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,7,0.0062,4568.0
319,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,0,0.0047,3016.0
320,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,1,0.0094,4219.0
321,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,6,0.0074,5268.0
322,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,8,0.0062,2746.0
323,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,2,0.0155,3522.0
