openmlid,learner,train_size,seed,traintime,error_rate
1457,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,64,1,133,0.9644846796657379
1457,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,128,1,256,0.8870262390670554
1457,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,256,1,677,0.7813504823151125
1457,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,512,1,2839,0.9149797570850202
1457,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,1024,1,9877,0.9243697478991596
1457,<class 'sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis'>,512,1,3855,0.9595141700404858
1457,<class 'sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis'>,1024,1,2463,0.9558823529411764
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,2,1,242,0.9813084112149532
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,4,1,243,0.9759358288770054
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,8,1,247,0.9490616621983914
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,16,1,263,0.9804582210242588
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,32,1,242,0.9816076294277928
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,64,1,231,0.9770194986072424
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,128,1,257,0.9584548104956268
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,256,1,217,0.9139871382636656
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,512,1,204,0.736842105263158
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,1024,1,251,0.3697478991596639
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,2,1,16,0.9806408544726302
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,4,1,16,0.9739304812834224
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,8,1,17,0.9658176943699732
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,16,1,19,0.9676549865229108
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,32,1,25,0.9441416893732968
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,64,1,33,0.9296657381615598
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,128,1,26,0.9365889212827988
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,256,1,29,0.8577170418006431
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,512,1,43,0.6123481781376519
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,1024,1,58,0.3298319327731093
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,8,1,71,0.9738605898123324
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,16,1,78,0.97911051212938
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,32,1,77,0.9632152588555858
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,64,1,75,0.9247910863509752
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,128,1,82,0.9059766763848396
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,256,1,143,0.8633440514469454
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,512,1,162,0.8137651821862348
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,1024,1,109,0.7310924369747901
1457,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,2,1,178,0.9826435246995996
1457,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,4,1,176,0.9772727272727272
